ID,variable,agency,inventory_description,notes,time_support
1001,inflow,DUKE,Real time,,unresolved
1001,outflow,DUKE,Real time,,unresolved
1003,inflow,DUKE,Real time,,unresolved
1003,outflow,DUKE,Real time,,unresolved
1006,inflow,DUKE,Real time,,unresolved
1006,outflow,DUKE,Real time,,unresolved
1007,inflow,DUKE,Real time,,unresolved
1007,outflow,DUKE,Real time,,unresolved
1017,inflow,ACE_LIT,Real time,Linear interpolation was doneto determine storage values as we were given the storage-elevation chart. We marked extremely negative values as 0.,unresolved
1017,outflow,ACE_LIT,Real time,Linear interpolation was doneto determine storage values as we were given the storage-elevation chart. We marked extremely negative values as 0.,unresolved
1020,inflow,DUKE,Real time,,unresolved
1020,outflow,DUKE,Real time,,unresolved
1021,inflow,DUKE,Real time,,unresolved
1021,outflow,DUKE,Real time,,unresolved
1023,inflow,DUKE,Real time,,unresolved
1023,outflow,DUKE,Real time,,unresolved
1026,inflow,ACE_LIT,Real time,Linear interpolation was doneto determine storage values as we were given the storage-elevation chart. We marked extremely negative values as 0.,unresolved
1026,outflow,ACE_LIT,Real time,Linear interpolation was doneto determine storage values as we were given the storage-elevation chart. We marked extremely negative values as 0.,unresolved
1027,inflow,DUKE,Real time,,unresolved
1027,outflow,DUKE,Real time,,unresolved
1028,inflow,DUKE,Real time,,unresolved
1028,outflow,DUKE,Real time,,unresolved
1032,inflow,DUKE,Real time,,unresolved
1032,outflow,DUKE,Real time,,unresolved
1033,inflow,ACE_LIT,Real time,Linear interpolation was doneto determine storage values as we were given the storage-elevation chart. We marked extremely negative values as 0.,unresolved
1033,outflow,ACE_LIT,Real time,Linear interpolation was doneto determine storage values as we were given the storage-elevation chart. We marked extremely negative values as 0.,unresolved
1036,inflow,ACE_LIT,Real time,Linear interpolation was doneto determine storage values as we were given the storage-elevation chart. We marked extremely negative values as 0.,unresolved
1036,outflow,ACE_LIT,Real time,Linear interpolation was doneto determine storage values as we were given the storage-elevation chart. We marked extremely negative values as 0.,unresolved
1042,inflow,ACE_LIT,Real time,Linear interpolation was doneto determine storage values as we were given the storage-elevation chart. We marked extremely negative values as 0.,unresolved
1042,outflow,ACE_LIT,Real time,Linear interpolation was doneto determine storage values as we were given the storage-elevation chart. We marked extremely negative values as 0.,unresolved
1048,inflow,DUKE,Real time,,unresolved
1048,outflow,DUKE,Real time,,unresolved
1051,inflow,DUKE,Real time,,unresolved
1051,outflow,DUKE,Real time,,unresolved
1053,inflow,DUKE,Real time,,unresolved
1053,outflow,DUKE,Real time,,unresolved
1067,inflow,ACE_LIT,Real time,Linear interpolation was doneto determine storage values as we were given the storage-elevation chart. We marked extremely negative values as 0.,unresolved
1067,outflow,ACE_LIT,Real time,Linear interpolation was doneto determine storage values as we were given the storage-elevation chart. We marked extremely negative values as 0.,unresolved
1070,inflow,DUKE,Real time,,unresolved
1070,outflow,DUKE,Real time,,unresolved
1075,inflow,DUKE,Real time,,unresolved
1075,outflow,DUKE,Real time,,unresolved
1078,inflow,DUKE,Real time,,unresolved
1078,outflow,DUKE,Real time,,unresolved
1084,inflow,ACE_LIT,Real time,Linear interpolation was doneto determine storage values as we were given the storage-elevation chart. We marked extremely negative values as 0.,unresolved
